"","batter","STATE","NEW.STATE"
"3398","Gordon","000 0","100 0"
"3414","Gordon","100 2","3"
"3442","Gordon","000 0","000 1"
"3461","Gordon","010 1","001 2"
"3478","Gamel","000 2","3"
"3479","Gordon","000 0","000 1"
"3491","Gamel","000 0","000 1"
"3494","Gordon","000 2","3"
"3509","Gamel","000 0","000 1"
"3512","Gordon","100 2","3"
"3524","Gamel","000 1","000 2"
"3530","Gordon","100 0","110 0"
"3541","Gamel","000 1","000 2"
"3546","Gordon","000 0","010 0"
"3567","Gordon","000 0","000 1"
"3585","Gordon","000 2","100 2"
"3609","Gordon","110 2","3"
"3613","Gamel","000 0","100 0"
"3628","Gordon","010 2","3"
"4199","Gordon","000 0","100 0"
"4208","Gordon","000 1","100 1"
"4224","Gamel","000 0","000 1"
"4226","Gordon","100 1","3"
"4240","Gamel","000 2","3"
"4246","Gordon","000 1","000 2"
"4259","Gamel","010 0","001 1"
"4261","Gordon","100 1","110 1"
"4272","Gamel","011 2","3"
"4276","Gordon","000 0","000 1"
"4296","Gordon","100 1","100 2"
"4315","Gordon","000 2","3"
"4338","Gordon","000 0","100 0"
"4352","Gordon","100 2","3"
"4353","Gordon","000 0","100 0"
"4361","Gamel","111 1","111 1"
"4364","Gordon","010 1","010 2"
"4379","Gamel","000 2","001 2"
"4381","Gordon","100 2","110 2"
"4398","Gamel","000 1","100 1"
"4400","Gordon","100 2","110 2"
"4416","Gamel","000 0","100 0"
"4419","Gordon","010 1","010 2"
"5520","Gamel","000 0","100 0"
"5522","Gordon","110 0","111 0"
"5532","Gamel","010 2","110 2"
"5534","Gordon","111 2","3"
"5544","Gamel","100 2","110 2"
"5550","Gordon","000 0","000 1"
"5564","Gamel","000 1","000 2"
"5570","Gordon","000 0","000 1"
"5581","Gamel","110 1","111 1"
"5583","Gordon","111 1","3"
"5604","Gordon","000 2","3"
"5623","Gordon","010 0","010 1"
"5640","Gordon","011 1","100 1"
"5729","Gordon","000 0","000 1"
"5742","Gordon","000 2","3"
"5765","Gordon","000 0","100 0"
"5780","Gordon","100 1","100 2"
"5799","Gamel","000 0","000 1"
"5800","Gordon","000 1","000 2"
"11263","Gordon","000 0","010 0"
"11276","Gordon","000 1","000 2"
"11294","Gordon","000 2","3"
"11301","Gamel","000 0","010 0"
"11313","Gordon","100 2","3"
"11318","Gamel","000 0","000 1"
"11335","Gordon","000 0","000 1"
"11348","Gordon","000 0","000 1"
"11366","Gordon","100 0","110 0"
"11384","Gordon","000 1","000 2"
"11403","Gordon","100 1","100 2"
"11413","Gamel","101 1","101 2"
"11426","Gamel","101 2","3"
"11431","Gordon","100 0","010 1"
"11450","Gamel","000 1","000 2"
"11452","Gordon","100 2","3"
"11465","Gamel","000 2","3"
"11470","Gordon","000 1","100 1"
"11484","Gamel","000 0","100 0"
"11486","Gordon","110 0","011 0"
"11487","Gordon","011 0","101 0"
"21801","Gordon","000 0","000 1"
"21814","Gordon","111 2","101 2"
"21830","Gordon","000 2","3"
"21855","Gordon","100 0","110 0"
"21868","Gordon","101 1","101 2"
"21882","Gordon","000 0","000 1"
"21892","Gamel","000 2","3"
"21900","Gordon","100 1","100 2"
"21909","Gamel","000 2","100 2"
"21916","Gordon","000 1","000 2"
"21930","Gamel","000 1","100 1"
"21936","Gordon","000 0","010 0"
"21946","Gamel","000 0","000 1"
"21953","Gordon","000 0","000 1"
"21964","Gordon","000 2","3"
"21979","Gamel","000 1","100 1"
"21982","Gordon","101 2","3"
"21992","Gamel","101 2","3"
"22001","Gordon","000 2","3"
"22011","Gamel","011 2","111 2"
"22017","Gordon","000 0","000 1"
"22026","Gamel","100 2","3"
"22033","Gordon","000 2","100 2"
