"","000 0","000 1","000 2","001 0","001 1","001 2","010 0","010 1","010 2","011 0","011 1","011 2","100 0","100 1","100 2","101 0","101 1","101 2","110 0","110 1","110 2","111 0","111 1","111 2","3"
"000 0",0.0326699542092286,0.684153751320888,0,0.0047551954913702,0,0,0.0477500880591758,0,0,0,0,0,0.230671010919338,0,0,0,0,0,0,0,0,0,0,0,0
"000 1",0,0.0309411517318033,0.6875844873682,0,0.00507675208026675,0,0,0.0453603292378864,0,0,0,0,0,0.231037279581844,0,0,0,0,0,0,0,0,0,0,0
"000 2",0,0,0.0281509433962264,0,0,0.00407547169811321,0,0,0.0433584905660377,0,0,0,0,0,0.236867924528302,0,0,0,0,0,0,0,0,0,0.687547169811321
"001 0",0.0327510917030568,0.209606986899563,0,0.00873362445414847,0.432314410480349,0,0.0545851528384279,0,0,0,0,0,0.133187772925764,0.00873362445414847,0,0.120087336244541,0,0,0,0,0,0,0,0,0
"001 1",0,0.0371830985915493,0.2,0,0.0135211267605634,0.328450704225352,0,0.0456338028169014,0.00619718309859155,0,0,0,0,0.178028169014084,0.0298591549295775,0,0.150985915492958,0,0,0,0,0,0,0,0.0101408450704225
"001 2",0,0,0.0404152762328513,0,0,0.00444938820912125,0,0,0.0441230997404524,0,0,0,0,0,0.119021134593993,0,0,0.155357804968484,0,0,0,0,0,0,0.636633296255098
"010 0",0.0236391912908243,0.00622083981337481,0.00622083981337481,0.0357698289269051,0.226749611197512,0,0.0482115085536547,0.39751166407465,0,0.0046656298600311,0,0,0.0460342146189736,0.0133748055987558,0,0.0839813374805599,0,0,0.107620528771384,0,0,0,0,0,0
"010 1",0,0.0265825205584242,0.0126219162363741,0,0.0552686938229107,0.163893669917766,0,0.0466628418435647,0.430675081277491,0,0.00305985848154523,0,0,0.0556511761331038,0.00860585197934595,0,0.0613884107860012,0,0,0.128896538535093,0,0,0,0,0.00669344042838019
"010 2",0,0,0.0247673586256263,0,0,0.0443808160343593,0,0,0.0525411596277738,0,0,0.000572655690765927,0,0,0.0731567644953472,0,0,0.0300644237652112,0,0,0.155476020042949,0,0,0,0.619040801717967
"011 0",0.0219435736677116,0.00156739811912226,0,0.0125391849529781,0.148902821316614,0.00156739811912226,0.0595611285266458,0.0705329153605016,0.00313479623824451,0.00783699059561128,0.401253918495298,0,0.0470219435736677,0.00156739811912226,0,0.0846394984326019,0.00940438871473354,0,0.00783699059561128,0.00940438871473354,0,0.11128526645768,0,0,0
"011 1",0,0.0195460277427491,0.00315258511979823,0,0.0220680958385876,0.134930643127364,0,0.0466582597730139,0.0851197982345523,0,0.00504413619167718,0.302648171500631,0,0.0491803278688525,0.00378310214375788,0,0.0825977301387137,0.0302648171500631,0,0.00756620428751576,0.00819672131147541,0,0.187263556116015,0,0.0119798234552333
"011 2",0,0,0.0218201170835551,0,0,0.0239489089941458,0,0,0.0548163916977115,0,0,0,0,0,0.0649281532730176,0,0,0.0228845130388505,0,0,0,0,0,0.181479510377861,0.630122405534859
"100 0",0.0287340236962403,0.0189383337997948,0.104860528034332,0.00802313648661256,0.00205243026401717,0,0.0711820132475044,0.075660042914451,0,0.0329321765090027,0,0,9.3292284728053e-05,0.429610971172684,0,0.0373169138912212,0,0,0.190596137699412,0,0,0,0,0,0
"100 1",0,0.0291247446856797,0.0236780391860201,0,0.00975868068689008,0.00226946062485816,0,0.0740600650578712,0.0647552764959528,0,0.0314698539980331,0,0,0.000605189499962176,0.433618276722899,0,0.0375973976851502,0,0,0.17951433542628,0,0,0,0,0.113548679930403
"100 2",0,0,0.0254999628280425,0,0,0.0105568359229797,0,0,0.110846777191287,0,0,0.0195524496319976,0,0,0.000297375659802245,0,0,0.0414095606274626,0,0,0.161474983272619,0,0,0,0.630362054865809
"101 0",0.0350109409190372,0.00109409190371991,0.0492341356673961,0.00984682713347921,0.012035010940919,0.0142231947483589,0.0196936542669584,0.0426695842450766,0.00547045951859956,0.062363238512035,0.0295404814004376,0,0.00109409190371991,0.172866520787746,0.00109409190371991,0.0404814004376368,0.275711159737418,0,0.13019693654267,0.0306345733041575,0,0.0667396061269147,0,0,0
"101 1",0,0.0302158273381295,0.00287769784172662,0,0.00911270983213429,0.00863309352517986,0,0.0287769784172662,0.0609112709832134,0,0.0839328537170264,0.0244604316546763,0,0.000959232613908873,0.149640287769784,0,0.0398081534772182,0.229256594724221,0,0.129016786570743,0.0191846522781775,0,0.0786570743405276,0,0.104556354916067
"101 2",0,0,0.0204301075268817,0,0,0.00860215053763441,0,0,0.0379928315412186,0,0,0.127956989247312,0,0,0.0021505376344086,0,0,0.0405017921146953,0,0,0.0774193548387097,0,0,0.0878136200716846,0.597132616487455
"110 0",0.0253456221198157,0,0.000384024577572965,0.00691244239631336,0.00230414746543779,0.0833333333333333,0.0161290322580645,0.00499231950844854,0.00921658986175115,0.0610599078341014,0.0894777265745008,0,0,0.00729646697388633,0.010752688172043,0.0295698924731183,0.10099846390169,0,0.0276497695852535,0.36405529953917,0,0.160138248847926,0,0,0.000384024577572965
"110 1",0,0.0286769498153378,0.000868998479252661,0,0.00760373669346079,0.00217249619813165,0,0.0145557245274821,0.00716923745383446,0,0.0721268737779709,0.0530089072344123,0,0,0.00456224201607647,0,0.0364979361286118,0.0908103410819031,0,0.0375841842276776,0.372148598739952,0,0.152291983489029,0,0.119921790136867
"110 2",0,0,0.023132615221614,0,0,0.00794631820589793,0,0,0.026840897051033,0,0,0.0565071516863853,0,0,0.000529754547059862,0,0,0.050150097121667,0,0,0.0406145152745894,0,0,0.127847430690447,0.666431220201307
"111 0",0.0285285285285285,0.0015015015015015,0,0.003003003003003,0.0015015015015015,0.0660660660660661,0.00750750750750751,0.003003003003003,0.0015015015015015,0.0735735735735736,0.0345345345345345,0.012012012012012,0,0.003003003003003,0,0.0315315315315315,0.0810810810810811,0.003003003003003,0.0285285285285285,0.0705705705705706,0.00900900900900901,0.175675675675676,0.363363363363363,0,0.0015015015015015
"111 1",0,0.0267152398299939,0.00121432908318154,0,0.00789313904068002,0.00242865816636308,0,0.01578627808136,0.00242865816636308,0,0.0607164541590771,0.0382513661202186,0,0.000607164541590771,0.00242865816636308,0,0.0255009107468124,0.0801457194899818,0,0.0443230115361263,0.0649666059502125,0,0.147540983606557,0.347298117789921,0.131754705525197
"111 2",0,0,0.0328792860497886,0,0,0.00939408172851104,0,0,0.0225457961484265,0,0,0.0418036636918741,0,0,0.00234852043212776,0,0,0.0403945514325975,0,0,0.0375763269140442,0,0,0.116016909347111,0.697040864255519
