"","000 0","000 1","000 2","001 0","001 1","001 2","010 0","010 1","010 2","011 0","011 1","011 2","100 0","100 1","100 2","101 0","101 1","101 2","110 0","110 1","110 2","111 0","111 1","111 2","3"
"000 0",0.0136986301369863,0.678082191780822,0,0.0205479452054795,0,0,0.0273972602739726,0,0,0,0,0,0.26027397260274,0,0,0,0,0,0,0,0,0,0,0,0
"000 1",0,0.0135135135135135,0.689189189189189,0,0,0,0,0.0540540540540541,0,0,0,0,0,0.243243243243243,0,0,0,0,0,0,0,0,0,0,0
"000 2",0,0,0.0571428571428571,0,0,0.0142857142857143,0,0,0.0142857142857143,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.714285714285714
"001 0",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"001 1",0,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0
"001 2",0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0.2
"010 0",0,0,0,0.1,0,0,0.1,0.4,0,0,0,0,0.1,0,0,0.1,0,0,0.2,0,0,0,0,0,0
"010 1",0,0.0666666666666667,0,0,0.0666666666666667,0.2,0,0.0666666666666667,0.266666666666667,0,0,0,0,0.133333333333333,0,0,0.133333333333333,0,0,0.0666666666666667,0,0,0,0,0
"010 2",0,0,0.0769230769230769,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153846153846154,0,0,0,0.692307692307692
"011 0",0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0
"011 1",0,0,0,0,0,0.375,0,0,0.125,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0
"011 2",0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875
"100 0",0,0,0.1,0,0,0,0,0.05,0,0.1,0,0,0.05,0.5,0,0,0,0,0.2,0,0,0,0,0,0
"100 1",0,0.0357142857142857,0,0,0,0,0,0.107142857142857,0.107142857142857,0,0,0,0,0,0.214285714285714,0,0,0,0,0.285714285714286,0,0,0,0,0.25
"100 2",0,0,0,0,0,0,0,0,0.0526315789473684,0,0,0.0263157894736842,0,0,0,0,0,0.0526315789473684,0,0,0.210526315789474,0,0,0,0.657894736842105
"101 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.5,0,0,0,0,0,0,0,0
"101 1",0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0.5,0,0,0.166666666666667,0,0.166666666666667,0,0,0,0,0
"101 2",0,0,0,0,0,0,0,0,0,0,0,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0.222222222222222,0.555555555555556
"110 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.2,0,0,0
"110 1",0,0,0,0,0.0476190476190476,0,0,0.0952380952380952,0,0,0.238095238095238,0.0476190476190476,0,0,0,0,0.0476190476190476,0.0476190476190476,0,0,0.285714285714286,0,0.0952380952380952,0,0.0952380952380952
"110 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0.363636363636364,0.545454545454545
"111 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0
"111 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0.25
"111 2",0,0,0,0,0,0.142857142857143,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0.571428571428571
