"","000 0","000 1","000 2","001 0","001 1","001 2","010 0","010 1","010 2","011 0","011 1","011 2","100 0","100 1","100 2","101 0","101 1","101 2","110 0","110 1","110 2","111 0","111 1","111 2","3"
"000 0",0.0220588235294118,0.669117647058823,0,0.00735294117647059,0,0,0.0735294117647059,0,0,0,0,0,0.227941176470588,0,0,0,0,0,0,0,0,0,0,0,0
"000 1",0,0.0266666666666667,0.626666666666667,0,0,0,0,0.0733333333333333,0,0,0,0,0,0.273333333333333,0,0,0,0,0,0,0,0,0,0,0
"000 2",0,0,0.0144927536231884,0,0,0.0144927536231884,0,0,0.0289855072463768,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0.608695652173913
"001 0",0,0.333333333333333,0,0,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0.166666666666667,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0
"001 1",0,0,0.111111111111111,0,0,0.555555555555556,0,0.111111111111111,0,0,0,0,0,0.111111111111111,0,0,0.111111111111111,0,0,0,0,0,0,0,0
"001 2",0,0,0,0,0,0.0714285714285714,0,0,0.214285714285714,0,0,0,0,0,0.142857142857143,0,0,0.0714285714285714,0,0,0,0,0,0,0.5
"010 0",0,0,0,0,0.206896551724138,0,0.103448275862069,0.379310344827586,0,0,0,0,0,0,0,0.206896551724138,0,0,0.103448275862069,0,0,0,0,0,0
"010 1",0,0,0.142857142857143,0,0,0,0,0.142857142857143,0.428571428571429,0,0,0,0,0.142857142857143,0,0,0,0,0,0.142857142857143,0,0,0,0,0
"010 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344827586206897,0,0,0.103448275862069,0,0,0.0689655172413793,0,0,0,0.793103448275862
"011 0",0,0,0,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0
"011 1",0,0,0,0,0.166666666666667,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0
"011 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0.333333333333333,0.5
"100 0",0.0175438596491228,0.0350877192982456,0.087719298245614,0.0701754385964912,0,0,0.210526315789474,0.0526315789473684,0,0.0175438596491228,0,0,0,0.350877192982456,0,0.0701754385964912,0,0,0.087719298245614,0,0,0,0,0,0
"100 1",0,0,0.024390243902439,0,0.0487804878048781,0,0,0.0731707317073171,0.0487804878048781,0,0.0487804878048781,0,0,0,0.390243902439024,0,0.0731707317073171,0,0,0.0731707317073171,0,0,0,0,0.219512195121951
"100 2",0,0,0,0,0,0,0,0,0.121951219512195,0,0,0,0,0,0,0,0,0.0487804878048781,0,0,0.195121951219512,0,0,0,0.634146341463415
"101 0",0.0350109409190372,0.00109409190371991,0.0492341356673961,0.00984682713347921,0.012035010940919,0.0142231947483589,0.0196936542669584,0.0426695842450766,0.00547045951859956,0.062363238512035,0.0295404814004376,0,0.00109409190371991,0.172866520787746,0.00109409190371991,0.0404814004376368,0.275711159737418,0,0.13019693654267,0.0306345733041575,0,0.0667396061269147,0,0,0
"101 1",0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.375,0,0.125,0,0,0.125,0,0,0.125,0,0
"101 2",0,0,0,0,0,0.142857142857143,0,0,0,0,0,0.285714285714286,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0.142857142857143,0.285714285714286
"110 0",0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0.142857142857143,0,0,0.571428571428571,0,0.142857142857143,0,0,0
"110 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230769230769231,0,0,0.384615384615385,0,0.153846153846154,0,0.230769230769231
"110 2",0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0,0,0.125,0.625
"111 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"111 1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"111 2",0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0.142857142857143,0,0,0,0.571428571428571
