"","000 0","000 1","000 2","001 0","001 1","001 2","010 0","010 1","010 2","011 0","011 1","011 2","100 0","100 1","100 2","101 0","101 1","101 2","110 0","110 1","110 2","111 0","111 1","111 2","3"
"000 0",0.049079754601227,0.760736196319018,0,0.00613496932515337,0,0,0.0368098159509202,0,0,0,0,0,0.147239263803681,0,0,0,0,0,0,0,0,0,0,0,0
"000 1",0,0.036697247706422,0.752293577981651,0,0,0,0,0.055045871559633,0,0,0,0,0,0.155963302752294,0,0,0,0,0,0,0,0,0,0,0
"000 2",0,0,0.0126582278481013,0,0,0,0,0,0.0632911392405063,0,0,0,0,0,0.177215189873418,0,0,0,0,0,0,0,0,0,0.746835443037975
"001 0",0.0327510917030568,0.209606986899563,0,0.00873362445414847,0.432314410480349,0,0.0545851528384279,0,0,0,0,0,0.133187772925764,0.00873362445414847,0,0.120087336244541,0,0,0,0,0,0,0,0,0
"001 1",0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0.4,0,0,0.2,0,0,0,0,0,0,0,0
"001 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.9
"010 0",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010 1",0,0,0,0,0.0833333333333333,0.25,0,0,0.333333333333333,0,0,0,0,0,0,0,0.0833333333333333,0,0,0.25,0,0,0,0,0
"010 2",0,0,0.0454545454545455,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0.0454545454545455,0,0,0,0,0,0.181818181818182,0,0,0,0.636363636363636
"011 0",0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011 1",0,0,0,0,0,0.333333333333333,0,0,0.166666666666667,0,0,0.166666666666667,0,0,0,0,0.166666666666667,0,0,0,0,0,0.166666666666667,0,0
"011 2",0,0,0.0218201170835551,0,0,0.0239489089941458,0,0,0.0548163916977115,0,0,0,0,0,0.0649281532730176,0,0,0.0228845130388505,0,0,0,0,0,0.181479510377861,0.630122405534859
"100 0",0.0857142857142857,0,0.114285714285714,0,0,0,0,0.0571428571428571,0,0.0571428571428571,0,0,0,0.485714285714286,0,0,0,0,0.2,0,0,0,0,0,0
"100 1",0,0,0,0,0,0,0,0.03125,0.03125,0,0.09375,0,0,0,0.5,0,0,0,0,0.25,0,0,0,0,0.09375
"100 2",0,0,0.0487804878048781,0,0,0,0,0,0.0731707317073171,0,0,0.024390243902439,0,0,0,0,0,0.0975609756097561,0,0,0.146341463414634,0,0,0,0.609756097560976
"101 0",0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0
"101 1",0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.375,0,0,0.25,0,0,0,0.125
"101 2",0,0,0,0,0,0,0,0,0.0526315789473684,0,0,0.0526315789473684,0,0,0,0,0,0.105263157894737,0,0,0,0,0,0.0526315789473684,0.736842105263158
"110 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461538461538462,0,0,0.384615384615385,0,0.153846153846154,0,0,0
"110 1",0,0.0416666666666667,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0.25,0,0.125,0.333333333333333,0,0,0,0.125
"110 2",0,0,0,0,0,0,0,0,0.032258064516129,0,0,0.0645161290322581,0,0,0,0,0,0.0967741935483871,0,0,0.0967741935483871,0,0,0.161290322580645,0.548387096774194
"111 0",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"111 1",0,0,0,0,0,0,0,0,0,0,0.25,0.125,0,0,0,0,0,0.125,0,0,0.125,0,0.125,0.25,0
"111 2",0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875
