"","000 0","000 1","000 2","001 0","001 1","001 2","010 0","010 1","010 2","011 0","011 1","011 2","100 0","100 1","100 2","101 0","101 1","101 2","110 0","110 1","110 2","111 0","111 1","111 2","3"
"000 0",0.0304878048780488,0.628048780487805,0,0.00609756097560976,0,0,0.0731707317073171,0,0,0,0,0,0.26219512195122,0,0,0,0,0,0,0,0,0,0,0,0
"000 1",0,0.05,0.641666666666667,0,0,0,0,0.0666666666666667,0,0,0,0,0,0.241666666666667,0,0,0,0,0,0,0,0,0,0,0
"000 2",0,0,0.0384615384615385,0,0,0.00961538461538462,0,0,0.0673076923076923,0,0,0,0,0,0.230769230769231,0,0,0,0,0,0,0,0,0,0.653846153846154
"001 0",0,0.25,0,0,0.5,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
"001 1",0,0.25,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"001 2",0,0,0.05,0,0,0,0,0,0.1,0,0,0,0,0,0.05,0,0,0.15,0,0,0,0,0,0,0.65
"010 0",0,0,0,0,0.0526315789473684,0,0.0526315789473684,0.421052631578947,0,0,0,0,0.157894736842105,0,0,0.105263157894737,0,0,0.210526315789474,0,0,0,0,0,0
"010 1",0,0.0666666666666667,0,0,0.0666666666666667,0.166666666666667,0,0,0.333333333333333,0,0,0,0,0.0666666666666667,0,0,0.0333333333333333,0,0,0.233333333333333,0,0,0,0,0.0333333333333333
"010 2",0,0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0.107142857142857,0,0,0,0,0,0.25,0,0,0,0.607142857142857
"011 0",0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"011 1",0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0
"011 2",0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6
"100 0",0.0277777777777778,0.111111111111111,0.0833333333333333,0,0,0,0.0833333333333333,0.0277777777777778,0,0.0277777777777778,0,0,0,0.472222222222222,0,0,0,0,0.166666666666667,0,0,0,0,0,0
"100 1",0,0.0555555555555556,0.0740740740740741,0,0.0185185185185185,0,0,0.222222222222222,0.0185185185185185,0,0,0,0,0,0.314814814814815,0,0,0,0,0.240740740740741,0,0,0,0,0.0555555555555556
"100 2",0,0,0.0222222222222222,0,0,0,0,0,0.155555555555556,0,0,0.0222222222222222,0,0,0,0,0,0.0444444444444444,0,0,0.244444444444444,0,0,0,0.511111111111111
"101 0",0.0909090909090909,0,0,0.0909090909090909,0,0.0909090909090909,0,0,0,0,0,0,0,0.272727272727273,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0,0.181818181818182,0,0,0
"101 1",0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0.142857142857143,0,0.285714285714286,0.142857142857143,0,0.285714285714286,0,0,0,0,0
"101 2",0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.6
"110 0",0,0,0,0,0,0.125,0,0,0,0.125,0,0,0,0,0.125,0.125,0.125,0,0,0.25,0,0.125,0,0,0
"110 1",0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.125,0,0.125,0.375,0,0.25,0,0
"110 2",0,0,0.0526315789473684,0,0,0,0,0,0.0526315789473684,0,0,0.0526315789473684,0,0,0,0,0,0,0,0,0.105263157894737,0,0,0.105263157894737,0.631578947368421
"111 0",0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0.4,0,0,0.2,0,0
"111 1",0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0.6,0
"111 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.875
