"","000 0","000 1","000 2","001 0","001 1","001 2","010 0","010 1","010 2","011 0","011 1","011 2","100 0","100 1","100 2","101 0","101 1","101 2","110 0","110 1","110 2","111 0","111 1","111 2","3"
"000 0",0.0697674418604651,0.697674418604651,0,0,0,0,0.0387596899224806,0,0,0,0,0,0.193798449612403,0,0,0,0,0,0,0,0,0,0,0,0
"000 1",0,0.1,0.7,0,0,0,0,0.0666666666666667,0,0,0,0,0,0.133333333333333,0,0,0,0,0,0,0,0,0,0,0
"000 2",0,0,0.0428571428571429,0,0,0.0142857142857143,0,0,0.0285714285714286,0,0,0,0,0,0.185714285714286,0,0,0,0,0,0,0,0,0,0.728571428571429
"001 0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"001 1",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.125,0.125,0,0.125,0,0,0,0,0,0,0,0.125
"001 2",0,0,0.105263157894737,0,0,0,0,0,0,0,0,0,0,0,0.210526315789474,0,0,0.210526315789474,0,0,0,0,0,0,0.473684210526316
"010 0",0,0,0,0.0625,0.1875,0,0,0.3125,0,0,0,0,0.125,0,0,0,0,0,0.3125,0,0,0,0,0,0
"010 1",0,0.0476190476190476,0,0,0,0.0476190476190476,0,0,0.571428571428571,0,0,0,0,0,0,0,0.19047619047619,0,0,0.142857142857143,0,0,0,0,0
"010 2",0,0,0,0,0,0.0740740740740741,0,0,0.037037037037037,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0.259259259259259,0,0,0,0.518518518518518
"011 0",0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"011 1",0,0.333333333333333,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0.166666666666667,0,0.166666666666667,0,0
"011 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"100 0",0.0645161290322581,0,0.0967741935483871,0,0,0,0.0967741935483871,0.032258064516129,0,0.032258064516129,0,0,0,0.419354838709677,0,0.032258064516129,0,0,0.225806451612903,0,0,0,0,0,0
"100 1",0,0.0714285714285714,0,0,0.0178571428571429,0,0,0.0714285714285714,0.0357142857142857,0,0.0178571428571429,0,0,0,0.392857142857143,0,0.0178571428571429,0,0,0.303571428571429,0,0,0,0,0.0714285714285714
"100 2",0,0,0.0377358490566038,0,0,0,0,0,0.0566037735849057,0,0,0,0,0,0,0,0,0.0377358490566038,0,0,0.0754716981132075,0,0,0,0.792452830188679
"101 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.4,0,0.2,0,0,0.2,0,0,0
"101 1",0,0,0,0,0,0,0,0,0,0,0.285714285714286,0,0,0,0.285714285714286,0,0.142857142857143,0.285714285714286,0,0,0,0,0,0,0
"101 2",0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0.111111111111111,0,0,0,0.666666666666667
"110 0",0,0,0,0,0,0.214285714285714,0,0,0,0.142857142857143,0.0714285714285714,0,0,0.214285714285714,0,0,0.0714285714285714,0,0.0714285714285714,0.142857142857143,0,0.0714285714285714,0,0,0
"110 1",0,0.0909090909090909,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0,0.0454545454545455,0.363636363636364,0,0.272727272727273,0,0.181818181818182
"110 2",0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0.2,0,0,0.266666666666667,0,0,0.2,0.266666666666667
"111 0",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111 1",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"111 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.6
