"","000 0","000 1","000 2","001 0","001 1","001 2","010 0","010 1","010 2","011 0","011 1","011 2","100 0","100 1","100 2","101 0","101 1","101 2","110 0","110 1","110 2","111 0","111 1","111 2","3"
"000 0",0.0135135135135135,0.648648648648649,0,0,0,0,0.0675675675675676,0,0,0,0,0,0.27027027027027,0,0,0,0,0,0,0,0,0,0,0,0
"000 1",0,0,0.641509433962264,0,0,0,0,0.0377358490566038,0,0,0,0,0,0.320754716981132,0,0,0,0,0,0,0,0,0,0,0
"000 2",0,0,0.0701754385964912,0,0,0,0,0,0.0526315789473684,0,0,0,0,0,0.263157894736842,0,0,0,0,0,0,0,0,0,0.614035087719298
"001 0",0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"001 1",0,0,0.142857142857143,0,0,0.142857142857143,0,0,0,0,0,0,0,0.571428571428571,0,0,0.142857142857143,0,0,0,0,0,0,0,0
"001 2",0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0.666666666666667
"010 0",0.142857142857143,0,0,0,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0.285714285714286,0,0,0,0,0,0
"010 1",0,0,0,0,0.08,0.28,0,0.08,0.28,0,0,0,0,0.08,0.04,0,0.04,0,0,0.12,0,0,0,0,0
"010 2",0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0.1,0,0,0.1,0,0,0.3,0,0,0,0.3
"011 0",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"011 1",0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0
"011 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"100 0",0,0,0.0588235294117647,0,0,0,0.294117647058824,0,0,0.0588235294117647,0,0,0,0.411764705882353,0,0.0588235294117647,0,0,0.117647058823529,0,0,0,0,0,0
"100 1",0,0,0,0,0,0,0,0.117647058823529,0.117647058823529,0,0.0294117647058824,0,0,0,0.470588235294118,0,0.0588235294117647,0,0,0.0882352941176471,0,0,0,0,0.117647058823529
"100 2",0,0,0.0526315789473684,0,0,0.0526315789473684,0,0,0.0526315789473684,0,0,0.105263157894737,0,0,0,0,0,0,0,0,0.263157894736842,0,0,0,0.473684210526316
"101 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0.25,0,0,0,0,0,0
"101 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0.333333333333333
"101 2",0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0.714285714285714
"110 0",0,0,0,0,0,0.142857142857143,0,0,0,0,0.142857142857143,0,0,0,0,0.142857142857143,0.142857142857143,0,0,0.285714285714286,0,0.142857142857143,0,0,0
"110 1",0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0.2
"110 2",0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0.0833333333333333,0.583333333333333
"111 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"111 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.666666666666667
"111 2",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
