"","000 0","000 1","000 2","001 0","001 1","001 2","010 0","010 1","010 2","011 0","011 1","011 2","100 0","100 1","100 2","101 0","101 1","101 2","110 0","110 1","110 2","111 0","111 1","111 2","3"
"000 0",0.0421052631578947,0.705263157894737,0,0,0,0,0.105263157894737,0,0,0,0,0,0.147368421052632,0,0,0,0,0,0,0,0,0,0,0,0
"000 1",0,0.075,0.7375,0,0,0,0,0.025,0,0,0,0,0,0.1625,0,0,0,0,0,0,0,0,0,0,0
"000 2",0,0,0.037037037037037,0,0,0,0,0,0.0185185185185185,0,0,0,0,0,0.185185185185185,0,0,0,0,0,0,0,0,0,0.759259259259259
"001 0",0,0.2,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"001 1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"001 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0.833333333333333
"010 0",0,0.142857142857143,0.142857142857143,0,0,0,0,0.714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010 1",0,0.0909090909090909,0,0,0,0,0,0,0.727272727272727,0,0,0,0,0.0909090909090909,0,0,0.0909090909090909,0,0,0,0,0,0,0,0
"010 2",0,0,0.0909090909090909,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0.0909090909090909,0,0,0.0909090909090909,0,0,0,0.545454545454545
"011 0",0,0,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011 1",0,0,0,0,0,0,0,0.333333333333333,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"011 2",0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
"100 0",0.0952380952380952,0,0.0476190476190476,0.0476190476190476,0,0,0.0952380952380952,0,0,0,0,0,0,0.476190476190476,0,0,0,0,0.238095238095238,0,0,0,0,0,0
"100 1",0,0.0666666666666667,0,0,0,0,0,0.1,0.0666666666666667,0,0,0,0,0,0.3,0,0,0,0,0.333333333333333,0,0,0,0,0.133333333333333
"100 2",0,0,0,0,0,0,0,0,0.166666666666667,0,0,0.0416666666666667,0,0,0,0,0,0.0416666666666667,0,0,0.0416666666666667,0,0,0,0.708333333333333
"101 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"101 1",0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0.2
"101 2",0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333
"110 0",0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0.714285714285714,0,0.142857142857143,0,0,0
"110 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0.727272727272727,0,0.0909090909090909,0,0.0909090909090909
"110 2",0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0.9
"111 0",0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0
"111 1",0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333
"111 2",0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0.5
