"","000 0","000 1","000 2","001 0","001 1","001 2","010 0","010 1","010 2","011 0","011 1","011 2","100 0","100 1","100 2","101 0","101 1","101 2","110 0","110 1","110 2","111 0","111 1","111 2","3"
"000 0",0.0491803278688525,0.745901639344262,0,0,0,0,0.040983606557377,0,0,0,0,0,0.163934426229508,0,0,0,0,0,0,0,0,0,0,0,0
"000 1",0,0.0531914893617021,0.74468085106383,0,0,0,0,0,0,0,0,0,0,0.202127659574468,0,0,0,0,0,0,0,0,0,0,0
"000 2",0,0,0.0405405405405405,0,0,0,0,0,0.027027027027027,0,0,0,0,0,0.202702702702703,0,0,0,0,0,0,0,0,0,0.72972972972973
"001 0",0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"001 1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"001 2",0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0.714285714285714
"010 0",0,0,0,0.142857142857143,0,0,0,0.428571428571429,0,0,0,0,0.142857142857143,0,0,0.142857142857143,0,0,0.142857142857143,0,0,0,0,0,0
"010 1",0,0,0,0,0,0.272727272727273,0,0,0.454545454545455,0,0,0,0,0.0909090909090909,0,0,0,0,0,0.181818181818182,0,0,0,0,0
"010 2",0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.733333333333333
"011 0",0.0219435736677116,0.00156739811912226,0,0.0125391849529781,0.148902821316614,0.00156739811912226,0.0595611285266458,0.0705329153605016,0.00313479623824451,0.00783699059561128,0.401253918495298,0,0.0470219435736677,0.00156739811912226,0,0.0846394984326019,0.00940438871473354,0,0.00783699059561128,0.00940438871473354,0,0.11128526645768,0,0,0
"011 1",0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0
"011 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0.166666666666667,0,0,0,0,0,0,0.666666666666667
"100 0",0.133333333333333,0,0.2,0,0,0,0.0333333333333333,0.0333333333333333,0,0.0333333333333333,0,0,0,0.4,0,0,0,0,0.166666666666667,0,0,0,0,0,0
"100 1",0,0.0540540540540541,0,0,0,0,0,0.0540540540540541,0,0,0,0,0,0,0.432432432432432,0,0.0540540540540541,0,0,0.189189189189189,0,0,0,0,0.216216216216216
"100 2",0,0,0,0,0,0,0,0,0.108108108108108,0,0,0,0,0,0,0,0,0.027027027027027,0,0,0.162162162162162,0,0,0,0.702702702702703
"101 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"101 1",0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0.111111111111111,0,0,0.333333333333333,0,0.222222222222222,0,0,0.222222222222222,0,0
"101 2",0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0.833333333333333
"110 0",0,0,0,0,0,0,0,0,0.111111111111111,0,0.111111111111111,0,0,0.111111111111111,0,0,0,0,0,0.444444444444444,0,0.222222222222222,0,0,0
"110 1",0,0.05,0,0,0,0.05,0,0,0,0,0.05,0.05,0,0,0,0,0,0.1,0,0,0.35,0,0.15,0,0.2
"110 2",0,0,0.0833333333333333,0,0,0,0,0,0.0416666666666667,0,0,0.0416666666666667,0,0,0,0,0,0.0833333333333333,0,0,0.0416666666666667,0,0,0.0416666666666667,0.666666666666667
"111 0",0.0285285285285285,0.0015015015015015,0,0.003003003003003,0.0015015015015015,0.0660660660660661,0.00750750750750751,0.003003003003003,0.0015015015015015,0.0735735735735736,0.0345345345345345,0.012012012012012,0,0.003003003003003,0,0.0315315315315315,0.0810810810810811,0.003003003003003,0.0285285285285285,0.0705705705705706,0.00900900900900901,0.175675675675676,0.363363363363363,0,0.0015015015015015
"111 1",0,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.4
"111 2",0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6
